category,description,difficulty,family,id,isModern,kind,label,language,name,standardVersion,status
,"C language, latest baseline snapshot focused on C23",,C,lang.c,true,,ProgrammingLanguage,,C,C23,active
,"C++ language, latest baseline snapshot focused on C++23",,C++,lang.cpp,true,,ProgrammingLanguage,,C++,C++23,active
,Introductory C programming,,,view.intro_c,true,,PedagogicalView,,IntroC,,active
,C pointers and memory management,,,view.c_pointers,true,,PedagogicalView,,PointersAndMemoryInC,,active
,Object-oriented programming in C++,,,view.cpp_oop,true,,PedagogicalView,,OOPInCpp,,active
,Modern C++ practices focused on C++23,,,view.cpp_modern,true,,PedagogicalView,,ModernCpp,,active
,"C++ templates, STL, ranges, and algorithms",,,view.cpp_stl,true,,PedagogicalView,,TemplatesAndSTL,,active
,Algorithms and data structures across C/C++,,,view.algorithms,true,,PedagogicalView,,AlgorithmsAndDSA,,active
,top-level category for C core language concepts,,,cat.c.core,true,,ConceptCategory,C,C Core Language,latest,active
,"Identifiers, scope, lifetime, objects, memory model, and undefined behavior",,,cat.c.basic,true,,ConceptCategory,C,C Basic Concepts,latest,active
,Directives and macro processing,,,cat.c.preprocessor,true,,ConceptCategory,C,C Preprocessor,latest,active
,Control-flow and jump statements,,,cat.c.statements,true,,ConceptCategory,C,C Statements,latest,active
,"Operators, conversions, literals, and expression forms",,,cat.c.expressions,true,,ConceptCategory,C,C Expressions,latest,active
,"Types, declarations, storage, qualifiers, and attributes",,,cat.c.declarations,true,,ConceptCategory,C,C Declarations,latest,active
,"Function declarations, definitions, and variadic features",,,cat.c.functions,true,,ConceptCategory,C,C Functions,latest,active
,Standard C library modules and selected concepts,,,cat.c.library,true,,ConceptCategory,C,C Standard Library,latest,active
,top-level category for C++ core language concepts,,,cat.cpp.core,true,,ConceptCategory,C++,C++ Core Language,latest,active
,"Names, ODR, types, objects, scope, lifetime, modules, and memory model",,,cat.cpp.basic,true,,ConceptCategory,C++,C++ Basic Concepts,latest,active
,Directives and macro processing,,,cat.cpp.preprocessor,true,,ConceptCategory,C++,C++ Preprocessor,latest,active
,"Value categories, casts, literals, and expression forms",,,cat.cpp.expressions,true,,ConceptCategory,C++,C++ Expressions,latest,active
,"Namespaces, references, pointers, arrays, auto, decltype, constexpr, and attributes",,,cat.cpp.declarations,true,,ConceptCategory,C++,C++ Declarations,latest,active
,Initialization forms and copy elision,,,cat.cpp.initialization,true,,ConceptCategory,C++,C++ Initialization,latest,active
