description,detectionEase,fixType,id,impactLevel,label,level,misconceptionType,name,pedagogicalPriority,severity,standardVersion,status,symptomType
Root category for all programming bugs,,,bugcat.root,,BugCategory,top,,ProgrammingBugRoot,,,latest,active,
Bugs caused by incorrect program logic,,,bugcat.logic,,BugCategory,top,,LogicError,,,latest,active,
Bugs manifested during execution,,,bugcat.runtime,,BugCategory,top,,RuntimeError,,,latest,active,
"Bugs involving allocation, ownership, lifetime, or pointer/reference misuse",,,bugcat.memory,,BugCategory,top,,MemoryError,,,latest,active,
Bugs caused by wrong algorithm or incomplete strategy,,,bugcat.algorithm,,BugCategory,top,,AlgorithmicError,,,latest,active,
Bugs caused by incorrect use of standard library or language API,,,bugcat.api,,BugCategory,top,,APIAndLibraryMisuse,,,latest,active,
Bugs caused by synchronization or memory ordering mistakes,,,bugcat.concurrency,,BugCategory,top,,ConcurrencyError,,,latest,active,
"Logic bugs in loop initialization, condition, exit, or progress",,,bugcat.logic.loop,,BugCategory,sub,,LoopError,,,latest,active,
"Logic bugs around arrays, indexing, and traversal",,,bugcat.logic.array,,BugCategory,sub,,ArrayAndIndexError,,,latest,active,
Bugs around return values and basic contract behavior,,,bugcat.logic.function,,BugCategory,sub,,FunctionContractError,,,latest,active,
Base case or progress mistakes in recursive algorithms,,,bugcat.algorithm.recursion,,BugCategory,sub,,RecursionError,,,latest,active,
"Pointer lifetime, dereference, and ownership mistakes",,,bugcat.memory.pointer,,BugCategory,sub,,PointerLifetimeError,,,latest,active,
Modern C++ lifetime and move/ownership issues,,,bugcat.memory.cpp,,BugCategory,sub,,ModernCppLifetimeError,,,latest,active,
Iterator invalidation and range misuse,,,bugcat.api.iterator,,BugCategory,sub,,IteratorAndRangeError,,,latest,active,
Formatted I/O or output API misuse,,,bugcat.api.io,,BugCategory,sub,,IOAndFormattingError,,,latest,active,
"Waiting, locking, and thread coordination mistakes",,,bugcat.concurrency.sync,,BugCategory,sub,,SynchronizationError,,,latest,active,
Belief that loop boundaries include one more or one fewer valid iteration than they actually do.,,,mis.loop.bound,,Misconception,,conceptual,MisunderstandLoopBoundary,,,,active,
Belief that a loop progresses correctly even when state is not updated toward termination.,,,mis.loop.progress,,Misconception,,conceptual,MisunderstandLoopProgress,,,,active,
Incorrect mental model of initialization value or start state of a loop variable.,,,mis.loop.init,,Misconception,,conceptual,MisunderstandLoopInitialization,,,,active,
Belief that an array of size n has valid last index n instead of n-1.,,,mis.array.last_index,,Misconception,,conceptual,MisunderstandLastValidIndex,,,,active,
Confusion between element position and element contents during traversal or update.,,,mis.array.index_value,,Misconception,,conceptual,ConfuseIndexWithValue,,,,active,
Belief that a pointer can be dereferenced safely without checking validity or lifetime.,,,mis.pointer.null,,Misconception,,pointer,AssumePointerIsAlwaysValid,,,,active,
Belief that a pointer remains valid after free/delete.,,,mis.pointer.free,,Misconception,,pointer,AssumeFreedPointerStillUsable,,,,active,
Belief that manually allocated memory is automatically released when forgotten.,,,mis.memory.auto_cleanup,,Misconception,,memory,AssumeManualMemoryCleansItself,,,,active,
Belief that omitting a required return value has no observable consequence.,,,mis.return.contract,,Misconception,,function,AssumeMissingReturnIsBenign,,,,active,
Belief that recursion can terminate correctly without a precise base case.,,,mis.recursion.base_case,,Misconception,,algorithm,MisunderstandBaseCase,,,,active,
Belief that recursive calls need not reduce problem size toward the base case.,,,mis.recursion.progress,,Misconception,,algorithm,MisunderstandRecursiveProgress,,,,active,
Belief that iterators remain valid after container modifications that invalidate them.,,,mis.iter.invalidate,,Misconception,,stl,MisunderstandIteratorInvalidation,,,,active,
Belief that an object is fully reusable after its resources were moved away.,,,mis.move.validity,,Misconception,,modern-cpp,MisunderstandMovedFromState,,,,active,
"Confusion about single ownership, shared ownership, and non-owning references.",,,mis.ownership.shared,,Misconception,,modern-cpp,MisunderstandOwnershipModel,,,,active,
Belief that deleting through a base pointer is safe without a virtual destructor.,,,mis.virtual.destructor,,Misconception,,oop,MisunderstandPolymorphicDestruction,,,,active,
Belief that resource cleanup remains correct under exceptional control flow without RAII.,,,mis.exception.safety,,Misconception,,modern-cpp,MisunderstandExceptionSafety,,,,active,
Belief that any format specifier can print any type without mismatch problems.,,,mis.format.specifier,,Misconception,,io,MisunderstandFormatSpecifierTypeMatch,,,,active,
Belief that waiting on conditions does not require disciplined locking and predicate checks.,,,mis.wait.protocol,,Misconception,,concurrency,MisunderstandConditionWaitingProtocol,,,,active,
Program runs but produces wrong output for one or more cases.,,,sym.incorrect_output,,Symptom,,,IncorrectOutput,,,,active,observable
Program does not terminate in expected time or gets stuck.,,,sym.hangs,,Symptom,,,ProgramHangs,,,,active,runtime
Program exceeds time limit or performance budget.,,,sym.timeout,,Symptom,,,Timeout,,,,active,runtime
"Program aborts, segfaults, or terminates unexpectedly.",,,sym.crash,,Symptom,,,Crash,,,,active,runtime
Program accesses array or container outside valid range.,,,sym.out_of_bounds,,Symptom,,,OutOfBoundsAccess,,,,active,runtime
Program dereferences a null pointer or invalid nullable handle.,,,sym.null_deref,,Symptom,,,NullDereference,,,,active,runtime
Program accesses memory after it has been released.,,,sym.use_after_free,,Symptom,,,UseAfterFreeSymptom,,,,active,runtime
