end_id,start_id,type
bugcat.root,bugcat.logic,SUBCATEGORY_OF
bugcat.root,bugcat.runtime,SUBCATEGORY_OF
bugcat.root,bugcat.memory,SUBCATEGORY_OF
bugcat.root,bugcat.algorithm,SUBCATEGORY_OF
bugcat.root,bugcat.api,SUBCATEGORY_OF
bugcat.root,bugcat.concurrency,SUBCATEGORY_OF
bugcat.logic,bugcat.logic.loop,SUBCATEGORY_OF
bugcat.logic,bugcat.logic.array,SUBCATEGORY_OF
bugcat.logic,bugcat.logic.function,SUBCATEGORY_OF
bugcat.algorithm,bugcat.algorithm.recursion,SUBCATEGORY_OF
bugcat.memory,bugcat.memory.pointer,SUBCATEGORY_OF
bugcat.memory,bugcat.memory.cpp,SUBCATEGORY_OF
bugcat.api,bugcat.api.iterator,SUBCATEGORY_OF
bugcat.api,bugcat.api.io,SUBCATEGORY_OF
bugcat.concurrency,bugcat.concurrency.sync,SUBCATEGORY_OF
bugcat.logic.array,bug.off_by_one,BELONGS_TO_CATEGORY
bugcat.logic.loop,bug.infinite_loop,BELONGS_TO_CATEGORY
bugcat.logic.loop,bug.missing_loop_update,BELONGS_TO_CATEGORY
bugcat.logic.loop,bug.wrong_loop_init,BELONGS_TO_CATEGORY
bugcat.logic.loop,bug.wrong_loop_condition,BELONGS_TO_CATEGORY
bugcat.logic.array,bug.array_out_of_bounds,BELONGS_TO_CATEGORY
bugcat.logic.array,bug.index_value_confusion,BELONGS_TO_CATEGORY
bugcat.memory.pointer,bug.null_dereference,BELONGS_TO_CATEGORY
bugcat.memory.pointer,bug.memory_leak,BELONGS_TO_CATEGORY
bugcat.memory.pointer,bug.use_after_free,BELONGS_TO_CATEGORY
bugcat.memory.pointer,bug.double_free,BELONGS_TO_CATEGORY
bugcat.memory.pointer,bug.dangling_pointer,BELONGS_TO_CATEGORY
bugcat.runtime,bug.uninitialized_value,BELONGS_TO_CATEGORY
bugcat.logic.function,bug.missing_return,BELONGS_TO_CATEGORY
bugcat.algorithm.recursion,bug.wrong_base_case,BELONGS_TO_CATEGORY
bugcat.algorithm.recursion,bug.no_recursive_progress,BELONGS_TO_CATEGORY
bugcat.api.iterator,bug.iterator_invalidation,BELONGS_TO_CATEGORY
bugcat.memory.cpp,bug.use_after_move,BELONGS_TO_CATEGORY
bugcat.memory.cpp,bug.missing_virtual_destructor,BELONGS_TO_CATEGORY
bugcat.memory.cpp,bug.rule_of_five,BELONGS_TO_CATEGORY
bugcat.memory.cpp,bug.exception_safety,BELONGS_TO_CATEGORY
bugcat.api.iterator,bug.vector_out_of_range,BELONGS_TO_CATEGORY
bugcat.api.io,bug.format_specifier_mismatch,BELONGS_TO_CATEGORY
bugcat.concurrency.sync,bug.condition_variable_misuse,BELONGS_TO_CATEGORY
concept.c.array,bug.off_by_one,OCCURS_IN_CONCEPT
concept.c.for,bug.off_by_one,OCCURS_IN_CONCEPT
concept.cpp.array,bug.off_by_one,OCCURS_IN_CONCEPT
concept.cpp.vector,bug.off_by_one,OCCURS_IN_CONCEPT
concept.cpp.range_for,bug.off_by_one,OCCURS_IN_CONCEPT
concept.c.for,bug.infinite_loop,OCCURS_IN_CONCEPT
