end_id,order,start_id,type
repaircat.root,,repaircat.boundary_loop,SUBCATEGORY_OF
repaircat.root,,repaircat.pointer_memory,SUBCATEGORY_OF
repaircat.root,,repaircat.function_flow,SUBCATEGORY_OF
repaircat.root,,repaircat.recursion,SUBCATEGORY_OF
repaircat.root,,repaircat.iterator_range,SUBCATEGORY_OF
repaircat.root,,repaircat.modern_cpp,SUBCATEGORY_OF
repaircat.root,,repaircat.concurrency,SUBCATEGORY_OF
repaircat.root,,repaircat.io,SUBCATEGORY_OF
repaircat.boundary_loop,,repair.boundary_validation,BELONGS_TO_CATEGORY
repaircat.boundary_loop,,repair.loop_progress,BELONGS_TO_CATEGORY
repaircat.boundary_loop,,repair.loop_termination,BELONGS_TO_CATEGORY
repaircat.pointer_memory,,repair.pointer_safety,BELONGS_TO_CATEGORY
repaircat.pointer_memory,,repair.resource_lifecycle,BELONGS_TO_CATEGORY
repaircat.pointer_memory,,repair.ownership_management,BELONGS_TO_CATEGORY
repaircat.function_flow,,repair.control_flow_completion,BELONGS_TO_CATEGORY
repaircat.function_flow,,repair.function_contract,BELONGS_TO_CATEGORY
repaircat.recursion,,repair.recursion_termination,BELONGS_TO_CATEGORY
repaircat.recursion,,repair.recursion_progress,BELONGS_TO_CATEGORY
repaircat.iterator_range,,repair.iterator_validity,BELONGS_TO_CATEGORY
repaircat.iterator_range,,repair.range_lifetime,BELONGS_TO_CATEGORY
repaircat.modern_cpp,,repair.move_semantic_safety,BELONGS_TO_CATEGORY
repaircat.modern_cpp,,repair.polymorphic_lifetime,BELONGS_TO_CATEGORY
repaircat.modern_cpp,,repair.exception_safety,BELONGS_TO_CATEGORY
repaircat.concurrency,,repair.lock_discipline,BELONGS_TO_CATEGORY
repaircat.concurrency,,repair.condition_protocol,BELONGS_TO_CATEGORY
repaircat.concurrency,,repair.shared_state_protection,BELONGS_TO_CATEGORY
repaircat.io,,repair.format_type_safety,BELONGS_TO_CATEGORY
step.locate_fault_region,1,repair.boundary_validation,CONSISTS_OF_STEP
step.inspect_loop_condition,2,repair.boundary_validation,CONSISTS_OF_STEP
step.verify_index_range,3,repair.boundary_validation,CONSISTS_OF_STEP
step.run_boundary_case,4,repair.boundary_validation,CONSISTS_OF_STEP
step.rerun_targeted_tests,5,repair.boundary_validation,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.loop_progress,CONSISTS_OF_STEP
step.verify_loop_progress,2,repair.loop_progress,CONSISTS_OF_STEP
step.repair_loop_update,3,repair.loop_progress,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.loop_progress,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.loop_termination,CONSISTS_OF_STEP
step.inspect_loop_condition,2,repair.loop_termination,CONSISTS_OF_STEP
step.verify_loop_progress,3,repair.loop_termination,CONSISTS_OF_STEP
step.rerun_targeted_tests,4,repair.loop_termination,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.pointer_safety,CONSISTS_OF_STEP
step.trace_pointer_assignment,2,repair.pointer_safety,CONSISTS_OF_STEP
step.check_nullability,3,repair.pointer_safety,CONSISTS_OF_STEP
step.insert_validity_guard,4,repair.pointer_safety,CONSISTS_OF_STEP
step.rerun_targeted_tests,5,repair.pointer_safety,CONSISTS_OF_STEP
step.locate_fault_region,1,repair.resource_lifecycle,CONSISTS_OF_STEP
step.verify_resource_owner,2,repair.resource_lifecycle,CONSISTS_OF_STEP
