anchorType,description,difficultyBand,explanationMode,id,label,language,level,maxHintDepth,name,patternType,planType,status,stepKind,stepOrder,text,toneLevel
,Root category for explanation and feedback templates,,,explcat.root,ExplanationCategory,,top,,ExplanationRoot,,,active,,,,
,Feedback templates for loop-related bugs,,,explcat.loop,ExplanationCategory,,top,,LoopFeedback,,,active,,,,
,"Feedback templates for arrays, indexing, and boundaries",,,explcat.array,ExplanationCategory,,top,,ArrayAndBoundaryFeedback,,,active,,,,
,Feedback templates for pointer and memory lifetime issues,,,explcat.pointer,ExplanationCategory,,top,,PointerAndMemoryFeedback,,,active,,,,
,Feedback templates for function return and contract violations,,,explcat.function,ExplanationCategory,,top,,FunctionContractFeedback,,,active,,,,
,Feedback templates for base case and recursive progress issues,,,explcat.recursion,ExplanationCategory,,top,,RecursionFeedback,,,active,,,,
,"Feedback templates for iterators, views, and invalidation",,,explcat.iterator,ExplanationCategory,,top,,IteratorAndRangeFeedback,,,active,,,,
,"Feedback templates for OOP lifetime, move, and exception safety",,,explcat.oop,ExplanationCategory,,top,,OOPAndLifetimeFeedback,,,active,,,,
,Feedback templates for formatting and API misuse,,,explcat.io,ExplanationCategory,,top,,IOFormattingFeedback,,,active,,,,
,Feedback templates for synchronization and waiting protocols,,,explcat.concurrent,ExplanationCategory,,top,,ConcurrencyFeedback,,,active,,,,
,Point to the likely code region and describe what is suspicious there.,,,fbp.locate_issue,FeedbackPattern,,,,LocateIssueInStudentCode,diagnostic,,active,,,,
,Restate the key programming rule in plain language.,,,fbp.restate_rule,FeedbackPattern,,,,RestateCoreRule,conceptual,,active,,,,
,Provide a minimal counterexample showing why the student logic fails.,,,fbp.counter_example,FeedbackPattern,,,,CounterExample,illustrative,,active,,,,
,Walk through one concrete execution trace or edge case.,,,fbp.trace_execution,FeedbackPattern,,,,TraceExecutionNarration,dynamic,,active,,,,
,Contrast the current code behavior with the corrected version.,,,fbp.compare_fix,FeedbackPattern,,,,CompareCurrentAndFixedLogic,repair,,active,,,,
,Recommend a modern safer alternative such as RAII or std::format.,,,fbp.modern_recommendation,FeedbackPattern,,,,ModernPracticeRecommendation,best-practice,,active,,,,
,Start with mild hints and become increasingly explicit only if needed.,,,fbp.hint_escalation,FeedbackPattern,,,,HintEscalation,pedagogical,,active,,,,
,Suggest next concepts or exercises for strengthening the weak area.,,,fbp.remediation_path,FeedbackPattern,,,,RemediationPath,pedagogical,,active,,,,
source-location,Anchor explanation to a specific line or range of lines.,,,ctx.line,ContextAnchorType,,,,LineNumberAnchor,,,active,,,,
syntax,"Anchor explanation to a concrete condition, expression, or statement.",,,ctx.expression,ContextAnchorType,,,,ExpressionAnchor,,,active,,,,
state,Anchor explanation to a variable whose value or lifetime is central.,,,ctx.variable,ContextAnchorType,,,,VariableAnchor,,,active,,,,
test,Anchor explanation to a failing boundary or counterexample test.,,,ctx.testcase,ContextAnchorType,,,,TestCaseAnchor,,,active,,,,
diagnostic,Anchor explanation to a compiler or analyzer finding.,,,ctx.finding,ContextAnchorType,,,,AnalyzerFindingAnchor,,,active,,,,
dynamic,Anchor explanation to a sequence of runtime states or steps.,,,ctx.trace,ContextAnchorType,,,,ExecutionTraceAnchor,,,active,,,,
,Revisit strict versus non-strict inequalities and zero-based iteration.,basic-intermediate,,plan.loop_boundary,RemediationPlan,,,,ReviewLoopBoundaryReasoning,,concept-remediation,active,,,,
,Practice indexing rules and traversal over fixed and dynamic sequences.,basic-intermediate,,plan.array_indexing,RemediationPlan,,,,ReviewArrayIndexingAndTraversal,,concept-remediation,active,,,,
,"Review pointer validity, ownership, free/delete semantics, and lifetime boundaries.",intermediate-advanced,,plan.pointer_lifetime,RemediationPlan,,,,ReviewPointerValidityAndLifetime,,concept-remediation,active,,,,
,Practice allocate-use-release reasoning and matching ownership operations.,intermediate-advanced,,plan.manual_memory,RemediationPlan,,,,ReviewManualMemoryLifecycle,,concept-remediation,active,,,,
,Reinforce the idea that every non-void path must produce a value.,basic,,plan.return_contract,RemediationPlan,,,,ReviewFunctionReturnContracts,,concept-remediation,active,,,,
,Train on defining precise base cases and shrinking recursive state.,intermediate,,plan.recursion,RemediationPlan,,,,ReviewRecursiveBaseCaseAndProgress,,concept-remediation,active,,,,
,"Study invalidation rules, view lifetimes, and non-owning range semantics.",advanced,,plan.iterator_range,RemediationPlan,,,,ReviewIteratorInvalidationAndRangeLifetimes,,concept-remediation,active,,,,
,"Study single ownership, shared ownership, moved-from states, and RAII design.",advanced,,plan.modern_cpp_ownership,RemediationPlan,,,,ReviewRAIIAndOwnershipModels,,concept-remediation,active,,,,
,"Review virtual destructors, base pointers, and polymorphic object cleanup.",advanced,,plan.oop_destruction,RemediationPlan,,,,ReviewPolymorphicDestruction,,concept-remediation,active,,,,
,Study strong/basic/no-throw guarantees and exception-safe cleanup design.,advanced,,plan.exception_safety,RemediationPlan,,,,ReviewExceptionSafetyAndCleanup,,concept-remediation,active,,,,
,Practice matching types to format specifiers and prefer type-safe formatting APIs.,basic-intermediate,,plan.formatting,RemediationPlan,,,,ReviewFormattingAndTypeSafeOutput,,concept-remediation,active,,,,
,"Study locking discipline, predicate waits, and shared-state synchronization.",advanced,,plan.concurrency_wait,RemediationPlan,,,,ReviewSynchronizationAndConditionProtocols,,concept-remediation,active,,,,
,Explain why a boundary that is one too small or too large breaks traversal logic.,,step-by-step,expl.off_by_one,ExplanationTemplate,en,,3,ExplainOffByOneBoundaryBug,,,active,,,,novice
,,,,expl.off_by_one.step1,ExplanationStep,en,,,LocateBoundaryCondition,,,active,locate,1,Point to the loop condition or index access that determines the last iteration.,
,,,,expl.off_by_one.step2,ExplanationStep,en,,,RestateValidIndexRange,,,active,concept,2,Explain that a sequence of length n is normally indexed from 0 to n-1.,
,,,,expl.off_by_one.step3,ExplanationStep,en,,,WalkEdgeCaseAndPatch,,,active,repair,3,Walk through the boundary test case and show the corrected strict or non-strict condition.,
,Explain why the loop never reaches its exit condition and how to restore progress.,,step-by-step,expl.infinite_loop,ExplanationTemplate,en,,3,ExplainInfiniteLoop,,,active,,,,novice
,,,,expl.infinite_loop.step1,ExplanationStep,en,,,FindProgressVariable,,,active,locate,1,Identify the variable or state that should move toward loop termination.,
,,,,expl.infinite_loop.step2,ExplanationStep,en,,,ShowWhyExitIsNeverReached,,,active,concept,2,Show that the condition stays true forever or moves in the wrong direction.,
,,,,expl.infinite_loop.step3,ExplanationStep,en,,,RepairUpdateOrCondition,,,active,repair,3,Adjust the update or condition so each iteration moves toward termination.,
,Explain why the current index can exceed valid sequence bounds.,,step-by-step,expl.array_out_of_bounds,ExplanationTemplate,en,,3,ExplainArrayOutOfBounds,,,active,,,,novice
,,,,expl.array_out_of_bounds.step1,ExplanationStep,en,,,IdentifyUnsafeIndex,,,active,locate,1,Point to the index expression that can become equal to or larger than the container length.,
,,,,expl.array_out_of_bounds.step2,ExplanationStep,en,,,RunBoundaryCounterExample,,,active,concept,2,Use the smallest failing boundary case to show the invalid access.,
,,,,expl.array_out_of_bounds.step3,ExplanationStep,en,,,ConstrainIndexRange,,,active,repair,3,Rewrite the logic so every access stays within valid bounds.,
,Explain the difference between index positions and the values stored at those positions.,,guided-hint,expl.index_value_confusion,ExplanationTemplate,en,,2,ExplainIndexValueConfusion,,,active,,,,novice
,,,,expl.index_value_confusion.step1,ExplanationStep,en,,,SeparateRoles,,,active,concept,1,Separate the variable representing the position from the value stored at that position.,
,,,,expl.index_value_confusion.step2,ExplanationStep,en,,,ShowCurrentMixUp,,,active,locate,2,Highlight where the code uses a value as if it were an index or vice versa.,
,,,,expl.index_value_confusion.step3,ExplanationStep,en,,,RefactorRoles,,,active,repair,3,Rename or restructure the variables so the two roles are not confused.,
,Explain why a nullable or invalid pointer must not be dereferenced without proof of validity.,,step-by-step,expl.null_dereference,ExplanationTemplate,en,,3,ExplainNullDereference,,,active,,,,intermediate
,,,,expl.null_dereference.step1,ExplanationStep,en,,,ShowUnsafeDereference,,,active,locate,1,Point to the dereference site and the missing validity guarantee.,
,,,,expl.null_dereference.step2,ExplanationStep,en,,,ExplainValidityRequirement,,,active,concept,2,Explain that dereference is only safe when the pointer definitely refers to a live object.,
,,,,expl.null_dereference.step3,ExplanationStep,en,,,GuardOrRedesignOwnership,,,active,repair,3,Add a guard or redesign the ownership model to make invalid states impossible.,
,Explain how allocation creates ownership obligations and why missing release causes leaks.,,step-by-step,expl.memory_leak,ExplanationTemplate,en,,3,ExplainMemoryLeak,,,active,,,,intermediate
,,,,expl.memory_leak.step1,ExplanationStep,en,,,LocateAllocationOwnership,,,active,locate,1,Point to the allocation site and ask who is responsible for releasing it.,
,,,,expl.memory_leak.step2,ExplanationStep,en,,,ShowMissingReleasePath,,,active,concept,2,Show the path where the resource is never released or returned safely.,
,,,,expl.memory_leak.step3,ExplanationStep,en,,,IntroduceLifecycleFix,,,active,repair,3,Add the missing release or replace manual ownership with RAII/smart pointers.,
,Explain why a handle becomes invalid immediately after its resource is released.,,step-by-step,expl.use_after_free,ExplanationTemplate,en,,3,ExplainUseAfterFree,,,active,,,,intermediate
,,,,expl.use_after_free.step1,ExplanationStep,en,,,TraceReleaseThenUse,,,active,locate,1,Trace the point where the resource is released and the later point where it is still used.,
,,,,expl.use_after_free.step2,ExplanationStep,en,,,ExplainEndedLifetime,,,active,concept,2,Explain that releasing the underlying storage ends the object lifetime for that handle.,
,,,,expl.use_after_free.step3,ExplanationStep,en,,,InvalidateOrTransferOwnership,,,active,repair,3,Stop using the handle after release or replace manual lifetime management with safer ownership.,
,Explain why the same resource must be released exactly once.,,step-by-step,expl.double_free,ExplanationTemplate,en,,3,ExplainDoubleFree,,,active,,,,intermediate
,,,,expl.double_free.step1,ExplanationStep,en,,,FindDuplicateReleasePath,,,active,locate,1,Locate the two paths that release the same resource.,
,,,,expl.double_free.step2,ExplanationStep,en,,,ExplainSingleOwnershipRule,,,active,concept,2,Explain that one owned resource must have one final release operation.,
,,,,expl.double_free.step3,ExplanationStep,en,,,RestructureOwnership,,,active,repair,3,Make ownership unique or centralize release so it happens only once.,
,Explain why reading a variable before valid initialization leads to unstable behavior.,,guided-hint,expl.uninitialized_value,ExplanationTemplate,en,,2,ExplainUninitializedValueUse,,,active,,,,novice
,,,,expl.uninitialized_value.step1,ExplanationStep,en,,,FindFirstRead,,,active,locate,1,Find the first read of the variable before any guaranteed assignment.,
,,,,expl.uninitialized_value.step2,ExplanationStep,en,,,ExplainInitializationRequirement,,,active,concept,2,Explain that a variable must be initialized before its value is used.,
,,,,expl.uninitialized_value.step3,ExplanationStep,en,,,InitializeBeforeUse,,,active,repair,3,Introduce an explicit meaningful initialization before the first read.,
,Explain that every non-void function path must return a valid value.,,guided-hint,expl.missing_return,ExplanationTemplate,en,,2,ExplainMissingReturnValue,,,active,,,,novice
,,,,expl.missing_return.step1,ExplanationStep,en,,,LocateMissingPath,,,active,locate,1,Locate the control-flow path that ends without returning a value.,
,,,,expl.missing_return.step2,ExplanationStep,en,,,ExplainContract,,,active,concept,2,Explain the contract of a non-void function: every path must produce a result.,
,,,,expl.missing_return.step3,ExplanationStep,en,,,AddReturnToAllPaths,,,active,repair,3,Make every branch return a valid value or redesign the function signature.,
,Explain that recursion needs a reachable stopping condition that matches the smallest solvable case.,,step-by-step,expl.wrong_base_case,ExplanationTemplate,en,,3,ExplainWrongRecursiveBaseCase,,,active,,,,intermediate
,,,,expl.wrong_base_case.step1,ExplanationStep,en,,,LocateBaseCaseCondition,,,active,locate,1,Highlight the stopping condition and check whether it can actually be reached.,
,,,,expl.wrong_base_case.step2,ExplanationStep,en,,,ShowFailingInput,,,active,concept,2,Run a small input where the recursion should stop but does not stop correctly.,
,,,,expl.wrong_base_case.step3,ExplanationStep,en,,,DefineReachableBaseCase,,,active,repair,3,Rewrite the stopping condition so the smallest case terminates correctly.,
,Explain why recursive calls must reduce the problem size toward the base case.,,step-by-step,expl.no_recursive_progress,ExplanationTemplate,en,,3,ExplainNoRecursiveProgress,,,active,,,,intermediate
,,,,expl.no_recursive_progress.step1,ExplanationStep,en,,,LocateRecursiveArgument,,,active,locate,1,Find the argument or state passed into the recursive call.,
,,,,expl.no_recursive_progress.step2,ExplanationStep,en,,,ShowLackOfReduction,,,active,concept,2,Show that the recursive input does not become simpler or smaller.,
,,,,expl.no_recursive_progress.step3,ExplanationStep,en,,,MakeProgressExplicit,,,active,repair,3,Change the recursive call so it moves toward the base case on every step.,
,"Explain why some container operations invalidate iterators, references, or views.",,step-by-step,expl.iterator_invalidation,ExplanationTemplate,en,,3,ExplainIteratorInvalidation,,,active,,,,advanced
,,,,expl.iterator_invalidation.step1,ExplanationStep,en,,,LocateModificationAndUse,,,active,locate,1,Locate the container modification and the later iterator or view use.,
,,,,expl.iterator_invalidation.step2,ExplanationStep,en,,,ExplainInvalidationRule,,,active,concept,2,Explain that some operations reallocate or erase elements and invalidate observers.,
