end_id,start_id,type
rulecat.root,rulecat.loop,SUBCATEGORY_OF
rulecat.root,rulecat.array,SUBCATEGORY_OF
rulecat.root,rulecat.pointer,SUBCATEGORY_OF
rulecat.root,rulecat.function,SUBCATEGORY_OF
rulecat.root,rulecat.recursion,SUBCATEGORY_OF
rulecat.root,rulecat.iterator,SUBCATEGORY_OF
rulecat.root,rulecat.oop,SUBCATEGORY_OF
rulecat.root,rulecat.io,SUBCATEGORY_OF
rulecat.root,rulecat.concurrency,SUBCATEGORY_OF
rulecat.root,rulecat.meta,SUBCATEGORY_OF
rulecat.loop,rule.loop.off_by_one.leq_length,BELONGS_TO_CATEGORY
rulecat.loop,rule.loop.off_by_one.start_one,BELONGS_TO_CATEGORY
rulecat.loop,rule.loop.infinite.missing_update,BELONGS_TO_CATEGORY
rulecat.loop,rule.loop.infinite.wrong_direction,BELONGS_TO_CATEGORY
rulecat.loop,rule.loop.boundary.edge_case,BELONGS_TO_CATEGORY
rulecat.array,rule.array.out_of_bounds.size_index,BELONGS_TO_CATEGORY
rulecat.array,rule.array.index_value_confusion,BELONGS_TO_CATEGORY
rulecat.pointer,rule.pointer.null_deref.ast,BELONGS_TO_CATEGORY
rulecat.pointer,rule.pointer.null_deref.clang,BELONGS_TO_CATEGORY
rulecat.pointer,rule.memory.leak.alloc_no_release,BELONGS_TO_CATEGORY
rulecat.pointer,rule.memory.use_after_free.flow,BELONGS_TO_CATEGORY
rulecat.pointer,rule.memory.double_free.flow,BELONGS_TO_CATEGORY
rulecat.pointer,rule.memory.uaf.sanitizer,BELONGS_TO_CATEGORY
rulecat.pointer,rule.memory.leak.sanitizer,BELONGS_TO_CATEGORY
rulecat.function,rule.function.missing_return.compiler,BELONGS_TO_CATEGORY
rulecat.function,rule.function.missing_return.cfg,BELONGS_TO_CATEGORY
rulecat.recursion,rule.recursion.no_base_case,BELONGS_TO_CATEGORY
rulecat.recursion,rule.recursion.unreachable_base,BELONGS_TO_CATEGORY
rulecat.recursion,rule.recursion.no_progress,BELONGS_TO_CATEGORY
rulecat.iterator,rule.iterator.invalidation.modify_then_use,BELONGS_TO_CATEGORY
rulecat.iterator,rule.iterator.view_lifetime,BELONGS_TO_CATEGORY
rulecat.oop,rule.move.use_after_move,BELONGS_TO_CATEGORY
rulecat.oop,rule.oop.delete_base_no_virtual,BELONGS_TO_CATEGORY
rulecat.oop,rule.oop.rule_of_five,BELONGS_TO_CATEGORY
rulecat.oop,rule.oop.exception_safety,BELONGS_TO_CATEGORY
rulecat.io,rule.format.specifier_mismatch,BELONGS_TO_CATEGORY
rulecat.io,rule.format.modern_cpp_upgrade,BELONGS_TO_CATEGORY
rulecat.concurrency,rule.concurrent.wait_protocol,BELONGS_TO_CATEGORY
rulecat.concurrency,rule.concurrent.missing_sync,BELONGS_TO_CATEGORY
rulecat.meta,rule.meta.edge_case_boundary,BELONGS_TO_CATEGORY
bug.off_by_one,rule.loop.off_by_one.leq_length,DETECTS_BUG
bug.array_out_of_bounds,rule.loop.off_by_one.leq_length,DETECTS_BUG
bug.off_by_one,rule.loop.off_by_one.start_one,DETECTS_BUG
bug.index_value_confusion,rule.loop.off_by_one.start_one,DETECTS_BUG
bug.infinite_loop,rule.loop.infinite.missing_update,DETECTS_BUG
bug.missing_loop_update,rule.loop.infinite.missing_update,DETECTS_BUG
bug.infinite_loop,rule.loop.infinite.wrong_direction,DETECTS_BUG
bug.off_by_one,rule.loop.boundary.edge_case,DETECTS_BUG
bug.wrong_loop_condition,rule.loop.boundary.edge_case,DETECTS_BUG
bug.array_out_of_bounds,rule.array.out_of_bounds.size_index,DETECTS_BUG
bug.vector_out_of_range,rule.array.out_of_bounds.size_index,DETECTS_BUG
bug.index_value_confusion,rule.array.index_value_confusion,DETECTS_BUG
bug.null_dereference,rule.pointer.null_deref.ast,DETECTS_BUG
bug.null_dereference,rule.pointer.null_deref.clang,DETECTS_BUG
bug.memory_leak,rule.memory.leak.alloc_no_release,DETECTS_BUG
bug.use_after_free,rule.memory.use_after_free.flow,DETECTS_BUG
bug.dangling_pointer,rule.memory.use_after_free.flow,DETECTS_BUG
bug.double_free,rule.memory.double_free.flow,DETECTS_BUG
bug.use_after_free,rule.memory.uaf.sanitizer,DETECTS_BUG
bug.memory_leak,rule.memory.leak.sanitizer,DETECTS_BUG
bug.missing_return,rule.function.missing_return.compiler,DETECTS_BUG
