end_id,start_id,type
explcat.root,explcat.loop,SUBCATEGORY_OF
explcat.root,explcat.array,SUBCATEGORY_OF
explcat.root,explcat.pointer,SUBCATEGORY_OF
explcat.root,explcat.function,SUBCATEGORY_OF
explcat.root,explcat.recursion,SUBCATEGORY_OF
explcat.root,explcat.iterator,SUBCATEGORY_OF
explcat.root,explcat.oop,SUBCATEGORY_OF
explcat.root,explcat.io,SUBCATEGORY_OF
explcat.root,explcat.concurrent,SUBCATEGORY_OF
explcat.array,expl.off_by_one,BELONGS_TO_CATEGORY
bug.off_by_one,expl.off_by_one,EXPLAINS_BUG
rule.loop.off_by_one.leq_length,expl.off_by_one,TRIGGERED_BY_RULE
rule.loop.off_by_one.start_one,expl.off_by_one,TRIGGERED_BY_RULE
rule.meta.edge_case_boundary,expl.off_by_one,TRIGGERED_BY_RULE
mis.loop.bound,expl.off_by_one,TARGETS_MISCONCEPTION
mis.array.last_index,expl.off_by_one,TARGETS_MISCONCEPTION
fix.loop.bound,expl.off_by_one,SUGGESTS_FIX
fix.array.bound,expl.off_by_one,SUGGESTS_FIX
concept.c.array,expl.off_by_one,REINFORCES_CONCEPT
concept.c.for,expl.off_by_one,REINFORCES_CONCEPT
concept.cpp.vector,expl.off_by_one,REINFORCES_CONCEPT
concept.cpp.range_for,expl.off_by_one,REINFORCES_CONCEPT
view.intro_c,expl.off_by_one,VISIBLE_IN
view.algorithms,expl.off_by_one,VISIBLE_IN
view.cpp_stl,expl.off_by_one,VISIBLE_IN
fbp.locate_issue,expl.off_by_one,USES_FEEDBACK_PATTERN
fbp.restate_rule,expl.off_by_one,USES_FEEDBACK_PATTERN
fbp.trace_execution,expl.off_by_one,USES_FEEDBACK_PATTERN
fbp.compare_fix,expl.off_by_one,USES_FEEDBACK_PATTERN
fbp.remediation_path,expl.off_by_one,USES_FEEDBACK_PATTERN
ctx.line,expl.off_by_one,USES_CONTEXT_ANCHOR
ctx.expression,expl.off_by_one,USES_CONTEXT_ANCHOR
ctx.testcase,expl.off_by_one,USES_CONTEXT_ANCHOR
plan.loop_boundary,expl.off_by_one,RECOMMENDS_PLAN
expl.off_by_one.step1,expl.off_by_one,CONSISTS_OF_STEP
expl.off_by_one.step2,expl.off_by_one,CONSISTS_OF_STEP
expl.off_by_one.step3,expl.off_by_one,CONSISTS_OF_STEP
explcat.loop,expl.infinite_loop,BELONGS_TO_CATEGORY
bug.infinite_loop,expl.infinite_loop,EXPLAINS_BUG
bug.missing_loop_update,expl.infinite_loop,EXPLAINS_BUG
bug.wrong_loop_condition,expl.infinite_loop,EXPLAINS_BUG
rule.loop.infinite.missing_update,expl.infinite_loop,TRIGGERED_BY_RULE
rule.loop.infinite.wrong_direction,expl.infinite_loop,TRIGGERED_BY_RULE
mis.loop.progress,expl.infinite_loop,TARGETS_MISCONCEPTION
fix.loop.progress,expl.infinite_loop,SUGGESTS_FIX
fix.loop.bound,expl.infinite_loop,SUGGESTS_FIX
concept.c.for,expl.infinite_loop,REINFORCES_CONCEPT
concept.c.while,expl.infinite_loop,REINFORCES_CONCEPT
concept.cpp.for,expl.infinite_loop,REINFORCES_CONCEPT
concept.cpp.while,expl.infinite_loop,REINFORCES_CONCEPT
view.intro_c,expl.infinite_loop,VISIBLE_IN
view.algorithms,expl.infinite_loop,VISIBLE_IN
fbp.locate_issue,expl.infinite_loop,USES_FEEDBACK_PATTERN
fbp.trace_execution,expl.infinite_loop,USES_FEEDBACK_PATTERN
fbp.restate_rule,expl.infinite_loop,USES_FEEDBACK_PATTERN
fbp.compare_fix,expl.infinite_loop,USES_FEEDBACK_PATTERN
ctx.line,expl.infinite_loop,USES_CONTEXT_ANCHOR
ctx.variable,expl.infinite_loop,USES_CONTEXT_ANCHOR
ctx.trace,expl.infinite_loop,USES_CONTEXT_ANCHOR
plan.loop_boundary,expl.infinite_loop,RECOMMENDS_PLAN
expl.infinite_loop.step1,expl.infinite_loop,CONSISTS_OF_STEP
expl.infinite_loop.step2,expl.infinite_loop,CONSISTS_OF_STEP
expl.infinite_loop.step3,expl.infinite_loop,CONSISTS_OF_STEP
explcat.array,expl.array_out_of_bounds,BELONGS_TO_CATEGORY
