actionType,afterCode,autoFixable,beforeCode,constraintType,defaultOrder,description,explanation,id,label,name,status,stepType,strategyType
,,,,,,Root category for all repair strategies.,,repaircat.root,RepairCategory,RepairRoot,active,,
,,,,,,"Boundary, loop progress, and termination repairs.",,repaircat.boundary_loop,RepairCategory,BoundaryAndLoopRepair,active,,
,,,,,,"Pointer safety, ownership, and memory lifecycle repairs.",,repaircat.pointer_memory,RepairCategory,PointerAndMemoryRepair,active,,
,,,,,,Function contract and control-flow completion repairs.,,repaircat.function_flow,RepairCategory,FunctionAndControlFlowRepair,active,,
,,,,,,Recursive base case and progress repairs.,,repaircat.recursion,RepairCategory,RecursionRepair,active,,
,,,,,,"Iterator validity, range lifetime, and STL traversal repairs.",,repaircat.iterator_range,RepairCategory,IteratorAndRangeRepair,active,,
,,,,,,"Move semantics, RAII, polymorphic lifetime, and exception safety repairs.",,repaircat.modern_cpp,RepairCategory,ModernCppRepair,active,,
,,,,,,"Lock discipline, condition protocols, and shared state protection repairs.",,repaircat.concurrency,RepairCategory,ConcurrencyRepair,active,,
,,,,,,Formatting and type-safe I/O repairs.,,repaircat.io,RepairCategory,IOFormattingRepair,active,,
,,,,,,"Validate loop boundaries, index ranges, and edge-case behavior.",,repair.boundary_validation,RepairPlan,BoundaryValidation,active,,boundary
,,,,,,Ensure loop state changes toward termination on every iteration.,,repair.loop_progress,RepairPlan,LoopProgressRepair,active,,loop
,,,,,,Repair loop conditions so execution eventually reaches an exit state.,,repair.loop_termination,RepairPlan,LoopTerminationRepair,active,,loop
,,,,,,Guard pointer use and prove dereference validity before access.,,repair.pointer_safety,RepairPlan,PointerSafetyRepair,active,,pointer
,,,,,,"Match allocation, ownership transfer, use, and release paths.",,repair.resource_lifecycle,RepairPlan,ResourceLifecycleRepair,active,,memory
,,,,,,Clarify ownership and prevent double release or dangling references.,,repair.ownership_management,RepairPlan,OwnershipManagementRepair,active,,memory
,,,,,,Ensure all required control-flow paths complete their contract.,,repair.control_flow_completion,RepairPlan,ControlFlowCompletionRepair,active,,control-flow
,,,,,,Align function behavior with its return type and specification.,,repair.function_contract,RepairPlan,FunctionContractRepair,active,,function
