confidenceBase,description,id,isAutoApplicable,label,level,mode,name,patternType,requiresExecution,status
,Root category for all diagnostic rules,rulecat.root,,RuleCategory,top,,DiagnosticRuleRoot,,,active
,"Rules for loops, boundaries, and progress",rulecat.loop,,RuleCategory,top,,LoopDiagnosis,,,active
,"Rules for arrays, indexing, and traversal",rulecat.array,,RuleCategory,top,,ArrayAndIndexDiagnosis,,,active
,"Rules for pointer validity, ownership, and memory lifetime",rulecat.pointer,,RuleCategory,top,,PointerAndMemoryDiagnosis,,,active
,Rules for return behavior and function-level obligations,rulecat.function,,RuleCategory,top,,FunctionContractDiagnosis,,,active
,Rules for base case and recursive progress,rulecat.recursion,,RuleCategory,top,,RecursionDiagnosis,,,active
,"Rules for iterators, ranges, and container invalidation",rulecat.iterator,,RuleCategory,top,,IteratorAndRangeDiagnosis,,,active
,"Rules for virtual dispatch, polymorphic destruction, and RAII",rulecat.oop,,RuleCategory,top,,OOPLifetimeDiagnosis,,,active
,Rules for formatted input/output and printing APIs,rulecat.io,,RuleCategory,top,,IOFormattingDiagnosis,,,active
,"Rules for threads, mutexes, atomics, and condition variables",rulecat.concurrency,,RuleCategory,top,,ConcurrencyDiagnosis,,,active
,Cross-cutting rules that combine multiple evidence types,rulecat.meta,,RuleCategory,top,,MetaAndCrossChecks,,,active
,Pattern extracted from abstract syntax tree shape or syntax form.,tool.ast,,ToolSignature,,static,ASTInspection,,,active
,Pattern extracted from control-flow graph shape.,tool.cfg,,ToolSignature,,static,CFGInspection,,,active
,"Pattern extracted from value, alias, or lifetime flow.",tool.dataflow,,ToolSignature,,static,DataFlowInspection,,,active
,Derived from Clang Static Analyzer findings or equivalent path-sensitive analyzers.,tool.clangsa,,ToolSignature,,static,ClangStaticAnalyzer,,,active
,Derived from compiler diagnostics and warnings.,tool.compiler,,ToolSignature,,static,CompilerWarning,,,active
,Derived from failed edge-case or specification tests.,tool.unittest,,ToolSignature,,dynamic,UnitTestFailure,,,active
,"Derived from observed crash, timeout, hang, or anomalous runtime behavior.",tool.runtime,,ToolSignature,,dynamic,RuntimeObservation,,,active
,"Derived from tools such as AddressSanitizer, UBSan, or thread sanitizers.",tool.sanitizer,,ToolSignature,,dynamic,Sanitizer,,,active
,Derived from linting or best-practice checks for modern C++.,tool.style,,ToolSignature,,static,ModernCppLinter,,,active
,Loop condition uses <= length or <= size while indexing from zero.,ev.loop.boundary.le_length,,EvidencePattern,,,LoopBoundaryUsesLessEqualLength,ast-pattern,,active
,Traversal over zero-indexed storage starts at 1 and misses or shifts valid positions.,ev.loop.boundary.starts_one,,EvidencePattern,,,LoopStartsAtOneForZeroIndexedTraversal,ast-pattern,,active
,Loop variable or termination state is never updated toward exit.,ev.loop.progress.no_update,,EvidencePattern,,,LoopVariableNotUpdated,ast-pattern,,active
,Loop variable update moves away from satisfying exit condition.,ev.loop.progress.wrong_direction,,EvidencePattern,,,LoopVariableMovesAwayFromExit,ast-pattern,,active
,Tests fail only on the final boundary element or exact-size edge case.,ev.loop.test.last_case_only,,EvidencePattern,,,FailsOnlyOnLastElementCase,test-pattern,,active
,Observed timeout or hang in a loop-heavy region.,ev.loop.timeout,,EvidencePattern,,,RuntimeTimeoutInLoopRegion,runtime-pattern,,active
,Array or vector is directly indexed by its length/size result.,ev.array.index.size_access,,EvidencePattern,,,ArrayIndexedBySizeValue,ast-pattern,,active
,Logic mixes roles of array element values and positions.,ev.array.index.value_misuse,,EvidencePattern,,,ArrayValueUsedAsIndexOrViceVersa,ast-pattern,,active
,Boundary test triggers crash or invalid access symptom.,ev.array.bounds.crash,,EvidencePattern,,,OutOfBoundsCrashOnBoundaryTest,runtime-pattern,,active
,Pointer is dereferenced on a path lacking a guard or ownership guarantee.,ev.pointer.null_check_missing,,EvidencePattern,,,PointerDereferencedWithoutGuard,ast-pattern,,active
,Static analyzer reports null dereference possibility.,ev.pointer.clang_null,,EvidencePattern,,,ClangNullDereferenceFinding,static-finding,,active
,Ownership path contains allocation but no matching release or RAII handoff.,ev.memory.alloc_without_release,,EvidencePattern,,,AllocationWithoutMatchingRelease,dataflow-pattern,,active
,Data-flow shows pointer/resource used after free/delete.,ev.memory.release_then_use,,EvidencePattern,,,ReleaseThenUseAccess,dataflow-pattern,,active
,Lifetime path contains duplicated release of the same resource.,ev.memory.double_release,,EvidencePattern,,,ResourceReleasedTwice,dataflow-pattern,,active
,Sanitizer reports heap-use-after-free or invalid lifetime access.,ev.memory.sanitizer_uaf,,EvidencePattern,,,SanitizerUseAfterFreeFinding,dynamic-finding,,active
,Leak sanitizer or instrumentation shows unreleased allocations.,ev.memory.sanitizer_leak,,EvidencePattern,,,SanitizerLeakFinding,dynamic-finding,,active
,Compiler warns that control reaches end of non-void function.,ev.function.warn_nonvoid,,EvidencePattern,,,CompilerWarnsControlReachesEndNonVoid,static-finding,,active
,At least one control-flow path exits without a return in non-void function.,ev.function.path_no_return,,EvidencePattern,,,NonVoidPathMissingReturn,cfg-pattern,,active
,Recursive function lacks a valid base case branch.,ev.recursion.no_base_case,,EvidencePattern,,,RecursiveFunctionWithoutBaseCase,ast-pattern,,active
